"","fear_rating","anger_rating","choice2","subject","type2","contingency2","Exp_Batch","contingency","choice","Fear_RT","Anger_RT","Certainty_rating"
"1",4.38330821599811,4.83039187220857,1,1,14,1,1,"weapon","fight",0.795036390377208,0.221217212371342,4.5
"2",3.96159380096942,3.34907417255454,1,1,17,1,1,"weapon","fight",0.116451286150105,1.44352181648277,1.5
"3",6.11478541865945,4.60378169291653,1,1,3,1,1,"weapon","fight",0.292859017124809,0.580333718750626,1
"4",4.00023636594415,3.21532110963017,-1,1,16,1,1,"weapon","escape",1.38986991373822,0.157684982870705,3.5
"5",1.42819486116059,2.98807265773416,1,1,15,1,1,"weapon","fight",0.356736012175679,1.00739892215397,1.5
"6",1.41083847824484,2.68470809089952,1,1,7,1,1,"weapon","fight",0.177576284556612,0.687822897072397,5
"7",3.6237019742839,2.13377901236527,1,1,18,1,1,"weapon","fight",0.199459276087992,1.494630170241,3
"8",2.51683543897234,3.47197242337279,-1,1,4,1,1,"weapon","escape",1.11522858506069,0.703716822899878,3
"9",5.15014368365519,3.54247101978399,1,1,8,1,1,"weapon","fight",0.25205450705573,0.812441971059889,4
"10",3.27700738813728,1.86229755636305,1,1,2,1,1,"weapon","fight",1.37668149927631,0.54127560146153,5
"11",3.93271532165818,2.97625816892833,1,1,12,1,1,"weapon","fight",1.48341892799363,0.762462489586323,4.5
"12",2.70558947115205,3.46664797863923,1,1,9,1,1,"weapon","fight",1.70648753589485,1.2289474979043,4
"13",2.94424652103335,2.90678184991702,-1,1,11,1,1,"weapon","escape",1.56060013053939,1.09207403049804,1.5
"14",2.92984733185731,4.29512708820403,-1,1,6,1,1,"weapon","escape",0.404532030191831,0.688466881215572,3.5
"15",3.83808575044387,3.99875829787925,1,1,20,1,1,"weapon","fight",2.60677175431047,0.174959934735671,1
"16",3.83831227375194,1.92669104970992,-1,1,10,1,1,"weapon","escape",1.24891151376069,1.17618305701762,4
"17",0.338204395258799,2.69094377300702,-1,1,5,1,1,"weapon","escape",2.28902320164043,0.911376864649355,3.5
"18",1.44086449500173,3.81294046668336,-1,1,1,1,1,"weapon","escape",0.682871491555124,1.00232894334476,1
"19",4.61005653301254,4.2632917673327,-1,1,13,1,1,"weapon","escape",0.0298145530978218,1.30610385118052,2.5
"20",5.5989710076712,3.96796208526939,1,1,19,1,1,"weapon","fight",4.74416617402807,1.20107641005889,3
"21",2.35379425412975,4.113853022689,1,1,1,-1,1,"non_weapon","fight",0.0513886427739634,1.33141594263058,4
"22",1.8331993764732,0.50261068646796,-1,1,14,-1,1,"non_weapon","escape",2.06312502401415,0.594667235319503,2
"23",3.74973574164324,1.92209649831057,1,1,9,-1,1,"non_weapon","fight",0.0632195200410111,1.00119714535713,4
"24",1.40632005641237,5.39749721297994,1,1,2,-1,1,"non_weapon","fight",3.07951035969891,0.897141172853298,4.5
"25",3.77423544228077,2.1861894398462,-1,1,10,-1,1,"non_weapon","escape",0.719534348300658,0.186449878709391,1
"26",4.08069381257519,5.5528065324761,-1,1,13,-1,1,"non_weapon","escape",2.08055741528515,0.930476842430531,4.5
